eta  ,mu  ,layers ,neurons ,offline ,error_function ,train_mean  ,train_std   ,test_mean   ,test_std
0.01 ,0.1 ,     5 ,      2 ,      0 ,             1 ,0.693145    ,3.9691e-06  ,0.693145    ,3.9691e-06
0.01 ,0.1 ,     5 ,      2 ,      1 ,             0 ,0.500029    ,5.33484e-06 ,0.500035    ,8.71342e-06
0.01 ,0.1 ,     5 ,      2 ,      1 ,             1 ,0.693164    ,1.24908e-05 ,0.693164    ,1.30851e-05
0.01 ,0.1 ,     5 ,      4 ,      0 ,             0 ,0.499996    ,1.7725e-05  ,0.499996    ,1.7725e-05
0.01 ,0.1 ,     5 ,      4 ,      0 ,             1 ,0.693143    ,3.86661e-05 ,0.693143    ,3.86661e-05
0.01 ,0.1 ,     5 ,      4 ,      1 ,             0 ,0.500068    ,4.10272e-05 ,0.500068    ,4.10272e-05
0.01 ,0.1 ,     5 ,      4 ,      1 ,             1 ,0.693208    ,4.59098e-05 ,0.693211    ,4.72951e-05
0.01 ,0.1 ,     5 ,      8 ,      0 ,             0 ,0.49967     ,0.000232522 ,0.49967     ,0.000232522
0.01 ,0.1 ,     5 ,      8 ,      0 ,             1 ,0.692834    ,0.000251664 ,0.692834    ,0.000251664
0.01 ,0.1 ,     5 ,      8 ,      1 ,             0 ,0.500064    ,0.000162928 ,0.500064    ,0.000162928
0.01 ,0.1 ,     5 ,      8 ,      1 ,             1 ,0.693085    ,0.000255655 ,0.693085    ,0.000255655
0.01 ,0.1 ,     5 ,     16 ,      0 ,             0 ,0.13131     ,0.156542    ,0.13131     ,0.156542
0.01 ,0.1 ,     5 ,     16 ,      0 ,             1 ,0.674621    ,0.0135006   ,0.674621    ,0.0135006
0.01 ,0.1 ,     5 ,     16 ,      1 ,             0 ,0.102783    ,0.198275    ,0.102783    ,0.198275
0.01 ,0.1 ,     5 ,     16 ,      1 ,             1 ,0.682311    ,0.014329    ,0.682311    ,0.014329
0.01 ,0.1 ,     5 ,     32 ,      0 ,             0 ,0.000910009 ,4.78481e-05 ,0.000910009 ,4.78481e-05
0.01 ,0.1 ,     5 ,     32 ,      0 ,             1 ,0.0432182   ,0.0048859   ,0.0432182   ,0.0048859
0.01 ,0.1 ,     5 ,     32 ,      1 ,             0 ,0.000748682 ,8.0153e-05  ,0.000748682 ,8.0153e-05
0.01 ,0.1 ,     5 ,     32 ,      1 ,             1 ,0.171418    ,0.261752    ,0.171418    ,0.261752
0.01 ,0.1 ,     5 ,     64 ,      0 ,             0 ,0.00048823  ,0.000128985 ,0.00048823  ,0.000128985
0.01 ,0.1 ,     5 ,     64 ,      0 ,             1 ,0.0222361   ,0.00235897  ,0.0222361   ,0.00235897
0.01 ,0.1 ,     5 ,     64 ,      1 ,             0 ,0.00039264  ,8.19685e-05 ,0.00039264  ,8.19685e-05
0.01 ,0.1 ,     5 ,     64 ,      1 ,             1 ,0.02287     ,0.00158791  ,0.02287     ,0.00158791
0.01 ,0.3 ,     1 ,      2 ,      0 ,             0 ,0.104392    ,0.121203    ,0.104392    ,0.121203
0.01 ,0.3 ,     1 ,      2 ,      0 ,             1 ,0.146051    ,0.124661    ,0.146051    ,0.124661
0.01 ,0.3 ,     1 ,      2 ,      1 ,             0 ,0.104608    ,0.121271    ,0.104608    ,0.121271
0.01 ,0.3 ,     1 ,      2 ,      1 ,             1 ,0.136817    ,0.127568    ,0.136817    ,0.127568
0.01 ,0.3 ,     1 ,      4 ,      0 ,             0 ,0.00387194  ,0.00045724  ,0.00387194  ,0.00045724
0.01 ,0.3 ,     1 ,      4 ,      0 ,             1 ,0.0555188   ,0.00149974  ,0.0555188   ,0.00149974
0.01 ,0.3 ,     1 ,      4 ,      1 ,             0 ,0.00413996  ,0.00038506  ,0.00413996  ,0.00038506
0.01 ,0.3 ,     1 ,      4 ,      1 ,             1 ,0.0564962   ,0.0012446   ,0.0564962   ,0.0012446
0.01 ,0.3 ,     1 ,      8 ,      0 ,             0 ,0.00263118  ,0.000468698 ,0.00263118  ,0.000468698
0.01 ,0.3 ,     1 ,      8 ,      0 ,             1 ,0.0469611   ,0.00342172  ,0.0469611   ,0.00342172
0.01 ,0.3 ,     1 ,      8 ,      1 ,             0 ,0.00280641  ,0.000541417 ,0.00280641  ,0.000541417
0.01 ,0.3 ,     1 ,      8 ,      1 ,             1 ,0.048118    ,0.00344015  ,0.048118    ,0.00344015
0.01 ,0.3 ,     1 ,     16 ,      0 ,             0 ,0.00149416  ,9.00636e-05 ,0.00149416  ,9.00636e-05
