**********
SEED 1
**********
Running Online Backpropagation...
Iteration 279	 Training error: 1.21889	 Test error: 1.13405
Iteration 280	 Training error: 1.21889	 Test error: 1.13405
Iteration 281	 Training error: 1.21889	 Test error: 1.13405
Iteration 282	 Training error: 1.21889	 Test error: 1.13405
Iteration 283	 Training error: 1.21889	 Test error: 1.13405
Iteration 284	 Training error: 1.21889	 Test error: 1.13405
Iteration 285	 Training error: 1.21889	 Test error: 1.13405
Iteration 286	 Training error: 1.21889	 Test error: 1.13406
Iteration 287	 Training error: 1.21889	 Test error: 1.13406
Iteration 288	 Training error: 1.21889	 Test error: 1.13406
Iteration 289	 Training error: 1.21889	 Test error: 1.13406
Iteration 290	 Training error: 1.21889	 Test error: 1.13406
Iteration 291	 Training error: 1.21889	 Test error: 1.13406
Iteration 292	 Training error: 1.21889	 Test error: 1.13406
Iteration 293	 Training error: 1.21889	 Test error: 1.13406
Iteration 294	 Training error: 1.21889	 Test error: 1.13406
Iteration 295	 Training error: 1.21889	 Test error: 1.13406
Iteration 296	 Training error: 1.21889	 Test error: 1.13406
Iteration 297	 Training error: 1.21889	 Test error: 1.13406
Iteration 298	 Training error: 1.21889	 Test error: 1.13406
Iteration 299	 Training error: 1.21889	 Test error: 1.13406
Iteration 300	 Training error: 1.21889	 Test error: 1.13406
Iteration 301	 Training error: 1.21889	 Test error: 1.13406
Iteration 302	 Training error: 1.21889	 Test error: 1.13406
Iteration 303	 Training error: 1.21889	 Test error: 1.13406
Iteration 304	 Training error: 1.21889	 Test error: 1.13406
Iteration 305	 Training error: 1.21889	 Test error: 1.13406
Iteration 306	 Training error: 1.21889	 Test error: 1.13406
Iteration 307	 Training error: 1.21889	 Test error: 1.13406
Iteration 308	 Training error: 1.21889	 Test error: 1.13406
Iteration 309	 Training error: 1.21889	 Test error: 1.13406
Iteration 310	 Training error: 1.21889	 Test error: 1.13406
Iteration 311	 Training error: 1.21889	 Test error: 1.13406
Iteration 312	 Training error: 1.21889	 Test error: 1.13406
Iteration 313	 Training error: 1.21889	 Test error: 1.13406
Iteration 314	 Training error: 1.21889	 Test error: 1.13406
Iteration 315	 Training error: 1.21889	 Test error: 1.13406
Iteration 316	 Training error: 1.21889	 Test error: 1.13406
Iteration 317	 Training error: 1.21889	 Test error: 1.13406
Iteration 318	 Training error: 1.21889	 Test error: 1.13406
Iteration 319	 Training error: 1.21889	 Test error: 1.13406
Iteration 320	 Training error: 1.21889	 Test error: 1.13406
Iteration 321	 Training error: 1.21889	 Test error: 1.13406
Iteration 322	 Training error: 1.21889	 Test error: 1.13406
Iteration 323	 Training error: 1.21889	 Test error: 1.13406
Iteration 324	 Training error: 1.21889	 Test error: 1.13406
Iteration 325	 Training error: 1.21889	 Test error: 1.13406
Iteration 326	 Training error: 1.21889	 Test error: 1.13406
Iteration 327	 Training error: 1.21889	 Test error: 1.13406
Iteration 328	 Training error: 1.21889	 Test error: 1.13406
Iteration 329	 Training error: 1.21889	 Test error: 1.13406
Iteration 330	 Training error: 1.21889	 Test error: 1.13406
Iteration 331	 Training error: 1.21889	 Test error: 1.13406
Iteration 332	 Training error: 1.21889	 Test error: 1.13406
Iteration 333	 Training error: 1.21889	 Test error: 1.13406
Iteration 334	 Training error: 1.21889	 Test error: 1.13406
Iteration 335	 Training error: 1.21889	 Test error: 1.13406
Iteration 336	 Training error: 1.21889	 Test error: 1.13406
Iteration 337	 Training error: 1.21889	 Test error: 1.13406
Iteration 338	 Training error: 1.21889	 Test error: 1.13406
Iteration 339	 Training error: 1.21889	 Test error: 1.13406
Iteration 340	 Training error: 1.21889	 Test error: 1.13406
Iteration 341	 Training error: 1.21889	 Test error: 1.13406
Iteration 342	 Training error: 1.21889	 Test error: 1.13406
Iteration 343	 Training error: 1.21889	 Test error: 1.13406
Iteration 344	 Training error: 1.21889	 Test error: 1.13406
Iteration 345	 Training error: 1.21889	 Test error: 1.13406
Iteration 346	 Training error: 1.21889	 Test error: 1.13406
Iteration 347	 Training error: 1.21889	 Test error: 1.13406
Iteration 348	 Training error: 1.21889	 Test error: 1.13406
Iteration 349	 Training error: 1.21889	 Test error: 1.13406
Iteration 350	 Training error: 1.21889	 Test error: 1.13406
Iteration 351	 Training error: 1.21889	 Test error: 1.13406
Iteration 352	 Training error: 1.21889	 Test error: 1.13406
Iteration 353	 Training error: 1.21889	 Test error: 1.13406
Iteration 354	 Training error: 1.21889	 Test error: 1.13406
Iteration 355	 Training error: 1.21889	 Test error: 1.13406
Iteration 356	 Training error: 1.21889	 Test error: 1.13406
Iteration 357	 Training error: 1.21889	 Test error: 1.13406
Iteration 358	 Training error: 1.21889	 Test error: 1.13406
Iteration 359	 Training error: 1.21889	 Test error: 1.13406
Iteration 360	 Training error: 1.21889	 Test error: 1.13406
Iteration 361	 Training error: 1.21889	 Test error: 1.13406
Iteration 362	 Training error: 1.21889	 Test error: 1.13406
Iteration 363	 Training error: 1.21889	 Test error: 1.13406
Iteration 364	 Training error: 1.21889	 Test error: 1.13406
Iteration 365	 Training error: 1.21889	 Test error: 1.13406
Iteration 366	 Training error: 1.21889	 Test error: 1.13406
Iteration 367	 Training error: 1.21889	 Test error: 1.13407
Iteration 368	 Training error: 1.21889	 Test error: 1.13407
Iteration 369	 Training error: 1.21889	 Test error: 1.13407
Iteration 370	 Training error: 1.21889	 Test error: 1.13407
Iteration 371	 Training error: 1.21889	 Test error: 1.13407
Iteration 372	 Training error: 1.21889	 Test error: 1.13407
Iteration 373	 Training error: 1.21889	 Test error: 1.13407
Iteration 374	 Training error: 1.21889	 Test error: 1.13407
Iteration 375	 Training error: 1.21889	 Test error: 1.13407
Iteration 376	 Training error: 1.21889	 Test error: 1.13407
Iteration 377	 Training error: 1.21889	 Test error: 1.13407
Iteration 378	 Training error: 1.21889	 Test error: 1.13407
Iteration 379	 Training error: 1.21889	 Test error: 1.13407
Iteration 380	 Training error: 1.21889	 Test error: 1.13407
Iteration 381	 Training error: 1.21889	 Test error: 1.13407
Iteration 382	 Training error: 1.21889	 Test error: 1.13407
Iteration 383	 Training error: 1.21889	 Test error: 1.13407
Iteration 384	 Training error: 1.21889	 Test error: 1.13407
